disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
ACL injury,"a ""popping"" sensation; A feeling; A loud pop; activity; inability; instability; Loss; motion; range; Rapid; Rapid swelling; Severe pain; swelling; the knee; way",a bone fracture; An MRI; internal structures; Magnetic resonance imaging; Magnetic resonance imaging (MRI).; MRI; rays; soft tissues; sound waves; Ultrasound; Ultrasound.; X-ray; X-rays.,,20 minutes; an elastic bandage; Compression; compression wrap; Compression.; Elevation; Elevation.; General rest; healing; Ice; Ice.; pillows; Rest; Rest.; your knee,an overall balance; Exercises; leg muscles; movements; proper technique and knee position; technique; the core; the hips; Training; Training to improve,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
ARDS,breath; Chest; Chest discomfort; Confusion; Confusion and extreme; Cough; discomfort; extreme tiredness; Fast heart; Fast heart rate; heart rate; Labored and rapid; Labored and rapid breathing; rapid breathing; Severe shortness,ARDS; chest X; conditions; Healthcare professionals; no specific test; other diseases; oxygen levels; physical exams; rays; the diagnosis,A test; an artery; an ECG; ARDS care; blood; blood tests; care at Mayo; Chest X; Chest X-rays; CT scan; ECG; Echocardiogram; Echocardiogram.; EKG; Electrocardiogram; Electrocardiogram.; infection; Mayo Clinic; other medical conditions; Other types; scan; sound waves; symptoms; This painless test; This test; X-rays; your healthcare; your oxygen level,ARDS; blood; goal in treating; improve the levels; oxygen; The first goal; the levels; treating ARDS; your blood; your organs,Attend pulmonary rehabilitation.; Get vaccinated.; help; influenza; Many medical centers; pulmonary rehabilitation; pulmonary rehabilitation programs; Quit smoking; Quit smoking.; secondhand smoke; the flu; your risk,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
Abdominal aortic aneurysm,"A throbbing or pulsing feeling; Back; Back pain; belly button; Deep, constant pain; pain; the belly; the belly area; the belly button; a car accident; a family history; Abdominal aortic aneurysms; Age; Age.; an aneurysm",a physical exam; Abdominal aortic; Abdominal aortic aneurysms; an abdominal aortic aneurysm; another reason; exam or imaging; imaging test; physical exam; questions; your medical and family history,a magnetic field and radio waves; a one-time screening; Abdominal aortic aneurysm care; abdominal aortic aneurysms; Abdominal CT scan; Abdominal CT scan.; Abdominal MRI; Abdominal MRI.; Abdominal ultrasound; Abdominal ultrasound.; an abdominal ultrasound; Chest X; Chest X-rays; cigarettes; CT scan; Mayo Clinic; Men; MRI; rays; scan; the most common test; the need; This imaging test; This test; Ultrasound; X-rays,abdominal aortic; abdominal aortic aneurysm; abdominal aortic aneurysm treatment; an aneurysm; aortic aneurysm; Frequent health checkups; imaging; medical monitoring; Surgery; the abdominal aortic aneurysm; The goal; the size; Treatment; Which treatment,a healthy diet; a variety; an aneurysm; at least 150 minutes; blood pressure; cholesterol; conflict; control; Eat a healthy diet.; Emotional stress; extreme increases; fruits; heavy lifting; moderate aerobic activity; professional; regular exercise; secondhand smoke; These activities; tobacco; tobacco products; vigorous physical activity; your blood pressure; Your healthcare,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
Absence seizure,A sudden stop; activity; activity without falling; both hands; Chewing; Chewing motions; Eyelid; Eyelid flutters; Finger; Finger rubbing; flutters; Lip; Lip smacking; motions; rubbing,Brain magnetic resonance; Brain magnetic resonance imaging; Brain scans; Brain scans.; Brain-imaging methods; EEG; electroencephalogram; Electroencephalography; Electroencephalography (EEG).; magnetic resonance imaging; MRI; This painless procedure measures,care; care and management; epilepsy treatment; free; free and receive; latest on epilepsy; management; receive the latest; Sign; treatment,(Zarontin; A ketogenic diet; benefit; both absence and tonic-clonic seizures; carbohydrates; children; Ethosuximide; Ethosuximide (Zarontin).; fat; Lamictal; Lamotrigine; Lamotrigine (Lamictal).; seizure control; seizures; some people; Some studies; the first medicine; This diet; traditional medicines; Valproic acid; Valproic acid.; Variations,,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683
Achalasia,Belching; Chest; Chest pain; Coughing; Coughing at night; Difficulty; dysphagia; food; Heartburn; loss; night; pain; Pneumonia; saliva; the lungs,a chalky liquid; a new technique; a tiny camera; An upper endoscopy; Esophageal manometry; Esophageal manometry.; FLIP; Functional luminal imaging probe (FLIP) technology; rays; the muscle contractions; the upper digestive system; This test; Upper endoscopy; Upper endoscopy.,"an email preview; any
                            time; digestive health; free and receive; health innovations; in-depth guide; news; receive your in-depth; Subscribe for free; your in-depth guide",a balloon; a needle; Achalasia treatment; food; health condition; liquid; Medicine; Medicine.; muscle relaxants; OnabotulinumtoxinA (Botox).; Pneumatic dilation; Pneumatic dilation.; Specific treatment; the achalasia; the digestive tract; the esophageal sphincter; the lower esophageal sphincter; the severity; This muscle relaxant; this outpatient procedure; your age; Your doctor,,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850
Achilles tendinitis,,,a strong magnet; MRI; MRI.; radio waves; rays; soft tissues; sound waves; tendons; This device; Ultrasound; Ultrasound.; X-rays.,A shoe insert; a special device; A therapist; ESWT; Exercise; Exercise.; Extracorporeal shock wave therapy; Extracorporeal shock wave therapy (ESWT).; Orthotic devices; Orthotic devices.; Platelet-rich plasma; Platelet-rich plasma.; shots; the Achilles tendon; This treatment; tiny nerves; Ultrasound-guided tendon scraping; Ultrasound-guided tendon scraping.; Ultrasound-guided tenotomy; Ultrasound-guided tenotomy.; vessels; wedge,,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020
Achilles tendon rupture,A popping or snapping sound; An inability; calf; injury occurs; Pain; possibly severe; the calf; The feeling; the foot; the heel; the injured leg; the injury; the toes; a height; a hole,a chair; a gap; MRI; tenderness; The doctor; the physical exam; your doctor; your feet; your lower leg; your stomach; your tendon,,a completely ruptured Achilles tendon; a ruptured Achilles tendon; a walking boot; activity level; Applying ice; crutches; ice; pain relievers; particularly athletes; Resting the tendon; surgery; Taking; the ankle; the area; the first few weeks; the severity; the tendon; the-counter; Treatment; younger and more active people; your age; your injury,Achilles tendon injuries; Alternate high-impact sports; an abrupt increase; calf muscles; Choose running surfaces carefully.; Dress; hard or slippery surfaces; Increase training intensity slowly.; low-impact sports; running surfaces; Stretch; Stretch and strengthen calf muscles.; training intensity; Vary your exercises.; your calf; your exercises,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234
Acne,"Blackheads; closed plugged pores; cystic lesions; Large, solid, painful lumps; nodules; open plugged pores; Painful, pus-filled lumps; papules; Pimples; pores; pustules; Small red; Small red, tender bumps; the skin; Whiteheads",,,a steroid drug; A variety; Avoid; Avoid scarring; Chemical peel; Chemical peel.; Control; Control your acne; Drainage; Drainage and extraction.; extraction; Light therapy; Light therapy.; light-based therapies; Make scars; Nodular and cystic lesions; repeated applications; scars; scars less noticeable; Steroid injection; Steroid injection.; This procedure; your acne; Your doctor; your skin,a gentle cleanser; acne-prone areas; Avoid irritants.; excess oil; friction; infection; irritants; more acne; Nonprescription acne; Nonprescription acne treatment; Oil; Oily or greasy cosmetics; peeling; pressure; problem areas; Shower; Shower after strenuous activities.; some people; strenuous activities; sunscreens,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
Acoustic neuroma,affected ear; balance; Dizziness; Facial numbness; Hearing loss; Loss; Loss of balance; months; the affected ear; tinnitus; weakness; years; a change; a gene; a tumor suppressor protein,"Acoustic neuroma; Acoustic neuroma care; audiometry; Brain magnetic resonance; Brain magnetic resonance imaging; CT scan; Hearing test; Hearing test, known as audiometry.; Imaging; Imaging.; Magnetic resonance imaging; Mayo Clinic; MRI; scan; This test",brain tumor; brain tumor treatment; diagnosis; diagnosis and surgery; free and receive; latest on brain; receive the latest; Sign; surgery; tumor treatment,a small dose; acoustic neuroma; Acoustic neuroma care; balance; Brain stereotactic; Brain stereotactic radiosurgery; Brain tumor; Brain tumor surgery; Continued tumor; Continued tumor growth; ear; Facial weakness; Fractionated stereotactic radiotherapy; Fractionated stereotactic radiotherapy.; health; Hearing; Hearing loss; loss; Mayo Clinic; numbness; Proton beam therapy; Proton beam therapy.; radiation therapy; radiosurgery; Ringing; signs and symptoms; SRT; Stereotactic; Stereotactic radiosurgery; Stereotactic radiosurgery.; symptoms; the acoustic neuroma; the ear; The size and growth rate; tumor surgery; Your overall health; Your signs,,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127
Acromegaly,"A broad nose; A jutting brow; a round shape; Acne; An enlarged tongue; An expanded rib cage; body odor; broad nose; brow or jaw; called skin tags; Coarse; Coarse, oily and thickened skin; Deeper; Deeper voice; ears and lips",a type; CT scan; Growth hormone suppression test; Growth hormone suppression test.; IGF-1; IGF-1 measurement; IGF-1 measurement.; Imaging tests; Imaging tests.; Magnetic resonance imaging; MRI; scan; the level; your growth hormone level,,3D imaging; a beam; an option; Conventional radiation therapy; Conventional radiation therapy.; health; lower hormone levels; Medicine; overall health; Proton beam radiation; Proton beam radiation.; Radiation; Radiation therapy; radiosurgery; size; Stereotactic; Stereotactic radiosurgery; Stereotactic radiosurgery.; Surgery; symptoms; The location; the size; the tumor; therapy; This type; Your age; your symptoms; your tumor,,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222
